      1        2         3       4       5     6     7    8    9    10    11   12  13   14    15    16    17   18    19    20
    Date      Time      Lat     Lon     Dep    ML    MC   N   Dmin  ehz   ehr  tag NSg  MwSg  fcSg  aicS  NPg  MwPg  fcPg  aicP
2012-11-24 04:36:50.56 41.117 -111.669  9.82  1.26  0.93  26   8.0  0.70  0.30  eq   7  2.02  3.73 -122.7   3  1.84  5.67  -81.0
2012-11-25 17:56:04.64 40.502 -112.171 -2.00  1.67  1.74  10   7.0  0.00  0.00  ex   6  2.26  0.62 -131.5   3  2.31  2.43  -59.0
2012-11-27 14:55:03.72 40.822 -111.883 -2.00  1.43  1.99  12   3.0  0.00  0.00  ex   1  2.06  0.61 -201.1   1  3.39  0.14  -57.3
2012-11-27 22:49:44.20 40.637 -109.499 -2.00  2.75  3.03   9 120.0  0.00  0.00  ex  14  2.70  1.64 -101.9  13  2.82  3.89  -82.2
2012-11-27 22:53:27.55 41.359 -112.015 -2.00 -9.99  1.79  12   8.0  0.00  0.00  ex   2  1.78  1.41  -73.9   0  0.00  0.00    0.0
2012-11-28 04:12:48.10 40.497 -111.360 11.04  1.29  1.29  22   2.0  0.90  0.40  eq  10  1.90  7.99 -105.9   2  2.09  8.63  -77.5
2012-11-28 21:05:22.26 39.619 -110.392 -2.45 -9.99  0.63   6   2.0  0.80  0.50 mis   1  1.58  0.62  -43.9   0  0.00  0.00    0.0
2012-11-28 22:51:40.87 38.962 -112.921 -2.00  1.90  1.64  12  42.0  0.00  0.00  ex   8  2.06  1.52 -107.0   8  2.06  2.87  -87.9
2012-11-30 17:43:25.56 41.112 -111.667 11.39  2.40  2.39  46   7.0  0.40  0.20  eq  19  2.79  3.99 -141.9  15  3.54  9.13 -113.6
2012-11-30 18:35:52.12 40.506 -112.184 -2.00 -9.99  1.72  10  20.0  0.00  0.00  ex   3  1.76  1.82 -121.2   1  1.75  3.74  -84.1
2012-12-02 05:05:45.32 40.583 -111.593  6.48 -9.99  0.36  12   4.0  1.40  0.80  eq   1  1.43 100.27 -109.0   0  0.00  0.00    0.0
2012-12-02 17:20:03.82 37.629 -113.013  5.87 -9.99  0.83   6   8.0  0.80  1.30  eq   2  1.74  4.29 -114.4   0  0.00  0.00    0.0
2012-12-03 17:04:11.13 38.139 -109.112 -2.00 -9.99 -9.99   6  13.0  0.00  0.00  ex   1  2.40  2.03  -25.2   0  0.00  0.00    0.0
2012-12-04 23:06:44.79 38.974 -112.919 -2.00  1.90  1.83  13  43.0  0.00  0.00  ex   9  2.07  2.14 -106.5   7  2.28  1.61 -101.9
2012-12-04 23:58:33.49 40.514 -112.163 -2.00  1.56  1.50  19   8.0  0.00  0.00  ex   9  1.73  2.41  -93.9   6  1.95  2.92  -86.5
2012-12-05 05:36:07.03 39.619 -110.394 -1.81 -9.99  0.89   6   1.0  0.30  0.40 mis   3  1.21  2.77 -104.0   0  0.00  0.00    0.0
2012-12-05 17:31:44.14 38.111 -109.136 -2.00 -9.99  1.38   6  15.0  0.00  0.00  ex   1  2.46  0.32  -91.0   0  0.00  0.00    0.0
2012-12-05 21:13:47.01 39.525 -112.203 -2.00  1.72  1.79   9  17.0  0.00  0.00  ex   5  1.74  5.38  -63.9   3  1.70 20.65  -57.5
